,Cycle GANphoto2ukiyoe DAVIS,,,,,,,,,,,,,,,,,,,CycleGANphoto2ukiyoe_videvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spatial,,,,,,Composited Spatiotemporal ,,,Temporal,,,,,,,,,,LPIPS,,,Composited Spatiotemporal ,,,Temporal,,,,,,,,,,,,,,,,,,,,,,,,,
video indx,Lai et al.£¨LPIPS£©,IOU,Bonneel et al.£¨LPIPS£©,IOU,TDMS-Net£¨LPIPS£©,IOU,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Dt,Bonneel et al.,Dt,TDMS-Net,Dt,Pre-Processed,,,video indx,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Dt,Bonneel et al.,Dt,TDMS-Net,Dt,Pre-Processed,,,,,,,,,,,,,,,,,,,
22 ,0.0201 ,0.5172 ,0.0733 ,0.5224 ,0.0265 ,0.5150 ,0.5397 ,0.5198 ,0.5687 ,0.0017 ,0.3309 ,0.0018 ,0.3151 ,0.0016 ,0.3932 ,0.0026 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 ,0.0311 ,0.5005 ,0.0876 ,0.4789 ,0.0550 ,0.4887 ,0.5999 ,0.4450 ,0.6408 ,0.0009 ,0.4651 ,0.0014 ,0.1944 ,0.0007 ,0.5647 ,0.0017 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 ,0.0311 ,0.3291 ,0.2763 ,0.2892 ,0.0344 ,0.3453 ,0.4603 ,0.3334 ,0.4533 ,0.0060 ,0.2715 ,0.0069 ,0.1604 ,0.0062 ,0.2512 ,0.0082 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 ,0.0419 ,0.1185 ,0.0921 ,0.1290 ,0.0563 ,0.1207 ,0.5200 ,0.5220 ,0.5501 ,0.0009 ,0.5017 ,0.0008 ,0.5256 ,0.0007 ,0.5680 ,0.0017 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 ,0.0233 ,0.7589 ,0.1049 ,0.7293 ,0.0299 ,0.7593 ,0.6177 ,0.4061 ,0.6077 ,0.0019 ,0.3676 ,0.0046 ,0.0000 ,0.0019 ,0.3507 ,0.0030 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 ,0.0334 ,0.5698 ,0.0663 ,0.5611 ,0.0735 ,0.5619 ,0.6366 ,0.5800 ,0.7194 ,0.0005 ,0.5050 ,0.0006 ,0.4125 ,0.0003 ,0.6945 ,0.0011 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 ,0.0204 ,0.3762 ,0.0964 ,0.5655 ,0.0272 ,0.2939 ,0.4587 ,0.3673 ,0.4138 ,0.0046 ,0.2394 ,0.0066 ,0.0000 ,0.0049 ,0.1942 ,0.0061 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 ,0.0137 ,0.1881 ,0.1507 ,0.1773 ,0.0122 ,0.2012 ,0.4971 ,0.3218 ,0.3798 ,0.0067 ,0.4070 ,0.0098 ,0.1304 ,0.0094 ,0.1652 ,0.0113 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 ,0.0269 ,0.2940 ,0.0953 ,0.2389 ,0.0392 ,0.2537 ,0.5027 ,0.4529 ,0.5073 ,0.0017 ,0.3718 ,0.0018 ,0.3340 ,0.0016 ,0.4073 ,0.0026 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ave,0.0290 ,0.5398 ,0.0926 ,0.5363 ,0.0456 ,0.5404 ,0.5822 ,0.5066 ,0.6056 ,0.0020 ,0.4091 ,0.0025 ,0.2913 ,0.0019 ,0.4639 ,0.0032 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CycleGAN photo2vangogh_ DAVIS,,,,,,,,,,,,,,,,,,,_CycleGANphoto2vangogh_videvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spatial,,,,,,Composited Spatiotemporal ,,,Temporal,,,,,,,,,,LPIPS,,,Composited Spatiotemporal ,,,Temporal,,,,,,,,,,,,,,,,,,,,,,,,,
video indx,Lai et al.£¨LPIPS£©,IOU,Bonneel et al.£¨LPIPS£©,IOU,TDMS-Net£¨LPIPS£©,IOU,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Dt,Bonneel et al.,Dt,TDMS-Net,Dt,Pre-Processed,,,video indx,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Dt,Bonneel et al.,Dt,TDMS-Net,Dt,Pre-Processed,,,,,,,,,,,,,,,,,,,
1 ,0.0259 ,0.3963 ,0.0694 ,0.3919 ,0.0618 ,0.4142 ,0.5621 ,0.5828 ,0.6526 ,0.0011 ,0.4390 ,0.0010 ,0.5044 ,0.0007 ,0.6290 ,0.0019 ,,,1 ,0.0184 ,0.1786 ,0.0907 ,0.6637 ,0.6506 ,0.7452 ,0.0034 ,0.3458 ,0.0027 ,0.4797 ,0.0022 ,0.5812 ,0.0052 ,,,,,,,,,,,,,,,,,,,
2 ,0.0284 ,0.8203 ,0.0935 ,0.8460 ,0.0384 ,0.8255 ,0.6636 ,0.6622 ,0.7059 ,0.0020 ,0.4313 ,0.0019 ,0.4482 ,0.0017 ,0.5182 ,0.0035 ,,,2 ,0.0184 ,0.1314 ,0.0404 ,0.6672 ,0.6741 ,0.7052 ,0.0027 ,0.3528 ,0.0021 ,0.4796 ,0.0023 ,0.4509 ,0.0041 ,,,,,,,,,,,,,,,,,,,
3 ,0.0229 ,0.4216 ,0.1264 ,0.4350 ,0.0232 ,0.4227 ,0.5139 ,0.5599 ,0.5228 ,0.0027 ,0.3285 ,0.0021 ,0.4655 ,0.0026 ,0.3460 ,0.0040 ,,,3 ,0.0136 ,0.1324 ,0.0496 ,0.6506 ,0.6019 ,0.7103 ,0.0023 ,0.3148 ,0.0023 ,0.3362 ,0.0018 ,0.4702 ,0.0034 ,,,,,,,,,,,,,,,,,,,
4 ,0.0232 ,0.2871 ,0.0501 ,0.1811 ,0.0594 ,0.0793 ,0.4955 ,0.4668 ,0.4968 ,0.0010 ,0.3589 ,0.0010 ,0.3682 ,0.0008 ,0.4837 ,0.0016 ,,,4 ,0.0209 ,0.1848 ,0.0844 ,0.7088 ,0.7200 ,0.8062 ,0.0026 ,0.4385 ,0.0018 ,0.6247 ,0.0014 ,0.6969 ,0.0047 ,,,,,,,,,,,,,,,,,,,
5 ,0.0360 ,0.7851 ,0.0838 ,0.7455 ,0.0495 ,0.7693 ,0.6781 ,0.7027 ,0.7404 ,0.0015 ,0.4817 ,0.0012 ,0.5745 ,0.0011 ,0.6209 ,0.0028 ,,,5 ,0.0305 ,0.1497 ,0.1317 ,0.7137 ,0.7226 ,0.7767 ,0.0021 ,0.4580 ,0.0016 ,0.5950 ,0.0012 ,0.6852 ,0.0039 ,,,,,,,,,,,,,,,,,,,
6 ,0.0322 ,0.8810 ,0.1258 ,0.8837 ,0.0470 ,0.8787 ,0.6479 ,0.6816 ,0.6778 ,0.0026 ,0.3714 ,0.0021 ,0.4843 ,0.0023 ,0.4396 ,0.0041 ,,,6 ,0.0235 ,0.1166 ,0.0489 ,0.7059 ,0.7124 ,0.7791 ,0.0019 ,0.4352 ,0.0015 ,0.5414 ,0.0013 ,0.6071 ,0.0033 ,,,,,,,,,,,,,,,,,,,
7 ,0.0289 ,0.9090 ,0.1513 ,0.9143 ,0.0696 ,0.9130 ,0.6883 ,0.6891 ,0.7492 ,0.0030 ,0.4366 ,0.0026 ,0.4968 ,0.0022 ,0.5767 ,0.0052 ,,,7 ,0.0092 ,0.1387 ,0.0288 ,0.6216 ,0.6691 ,0.6896 ,0.0037 ,0.2525 ,0.0026 ,0.4768 ,0.0030 ,0.4079 ,0.0050 ,,,,,,,,,,,,,,,,,,,
8 ,0.0364 ,0.8294 ,0.0745 ,0.8180 ,0.0533 ,0.8303 ,0.6917 ,0.7026 ,0.7804 ,0.0015 ,0.4870 ,0.0013 ,0.5335 ,0.0009 ,0.6723 ,0.0028 ,,,8 ,0.0129 ,0.0709 ,0.0671 ,0.6824 ,0.7135 ,0.8038 ,0.0014 ,0.3777 ,0.0011 ,0.4979 ,0.0007 ,0.6747 ,0.0022 ,,,,,,,,,,,,,,,,,,,
9 ,0.0279 ,0.6057 ,0.1360 ,0.6059 ,0.0424 ,0.5949 ,0.5938 ,0.6100 ,0.6412 ,0.0022 ,0.3987 ,0.0019 ,0.4850 ,0.0018 ,0.5062 ,0.0037 ,,,9 ,0.0184 ,0.1191 ,0.0574 ,0.6755 ,0.7018 ,0.7885 ,0.0019 ,0.3694 ,0.0014 ,0.5228 ,0.0011 ,0.6343 ,0.0030 ,,,,,,,,,,,,,,,,,,,
10 ,0.0299 ,0.7969 ,0.1425 ,0.8045 ,0.0349 ,0.7920 ,0.6331 ,0.6425 ,0.6564 ,0.0038 ,0.3828 ,0.0034 ,0.4540 ,0.0035 ,0.4342 ,0.0062 ,,,10 ,0.0223 ,0.1527 ,0.0507 ,0.6833 ,0.6971 ,0.7563 ,0.0027 ,0.3890 ,0.0020 ,0.5469 ,0.0019 ,0.5634 ,0.0044 ,,,,,,,,,,,,,,,,,,,
11 ,0.0597 ,0.6646 ,0.1744 ,0.4710 ,0.1813 ,0.6781 ,0.7503 ,0.7124 ,0.8296 ,0.0024 ,0.6981 ,0.0018 ,0.7765 ,0.0007 ,0.9107 ,0.0081 ,,,11 ,0.0208 ,0.2039 ,0.0592 ,0.6636 ,0.4985 ,0.6836 ,0.0029 ,0.3480 ,0.0035 ,0.2008 ,0.0025 ,0.4265 ,0.0044 ,,,,,,,,,,,,,,,,,,,
12 ,0.0512 ,0.2999 ,0.1229 ,0.5753 ,0.1142 ,0.3035 ,0.6529 ,0.6841 ,0.7334 ,0.0007 ,0.6814 ,0.0007 ,0.6420 ,0.0003 ,0.8721 ,0.0021 ,,,12 ,0.0175 ,0.1657 ,0.0777 ,0.6777 ,0.5904 ,0.7180 ,0.0028 ,0.3729 ,0.0029 ,0.3465 ,0.0022 ,0.5137 ,0.0045 ,,,,,,,,,,,,,,,,,,,
